"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"MN90253"	55.6417	22.0459	24.9112	NA	NA	NA
"MN91227"	48.4186	9.1416	13.3503	46.0207	NA	NA
"MN91309"	53.1804	10.4878	15.3204	29.094	NA	NA
"MN91324"	53.1343	10.6144	14.8545	42.8534	NA	NA
"MN92006"	38.6892	9.9163	16.9087	27.2418	NA	NA
"MN92387"	63.2349	11.4055	14.8762	28.5285	NA	NA
"MN93377"	58.3977	12.7356	17.2668	44.1149	NA	NA
"MN93434"	43.415	17.9812	30.0504	25.3201	NA	NA
"MN94055"	62.5251	17.4344	21.503	37.6054	NA	NA
"MN94200"	51.5407	9.8695	13.9571	35.6224	NA	NA
"MN94346"	28.3101	3.3306	11.7236	26.6518	8.1703	NA
"MN94351"	16.3014	0.1795	7.0115	18.5323	NA	NA
"MN94382"	41.1609	1.7055	4.9367	17.2579	NA	NA
"MN94390"	30.1162	4.9296	7.1696	23.9462	NA	NA
"MN95124"	49.6577	11.715	23.2504	35.4582	9.0161	NA
"MN95142"	51.4148	9.866	17.5954	35.3736	8.3176	NA
"MN95211"	45.3153	11.557	26.2454	36.8903	9.2606	NA
"MN95286"	53.6366	10.7183	18.0972	33.4965	NA	NA
"MN97039"	51.0675	6.9344	11.9229	29.489	1.683	167.9282
"MN97063"	69.2525	14.6261	21.3076	34.9362	NA	172.1385
"MN97073"	59.6113	8.4046	17.3179	32.2346	12.867	170.0565
"MN97237"	44.0902	6.4141	18.9797	34.3131	25.2393	177.9456
"MN97448"	67.7601	23.5916	31.1655	40.61	12.5252	171.0293
"MN97518"	59.9396	4.7251	5.4943	22.6883	NA	167.8349
"MN97561"	45.7179	7.3712	13.4676	35.6269	4.7095	166.4949
"MN97596"	58.0789	5.2042	5.9345	28.848	NA	168.1682
"MN97603"	59.8896	6.1395	4.6433	23.4222	NA	165.1682
"MN97695-4"	52.3927	10.8436	20.0821	37.0796	11.4304	168.954
"MN97762"	47.2223	10.089	17.3065	37.5223	24.6354	172.5123
"MN97847"	40.7261	5.1241	10.2182	36.2325	16.8292	172.8456
"MN98037"	35.442	5.2809	10.7458	25.8399	3.967	166.8282
"MN98068"	73.6815	13.3715	12.5141	25.7493	NA	171.8349
"MN98092"	41.0778	7.699	14.0561	31.1005	4.6157	168.3615
"MN98208"	33.7961	5.573	11.3715	28.3634	6.098	166.9282
"MN98389"	35.3175	4.9984	10.3884	29.9863	2.6673	166.3615
"MN98389-A"	47.8434	14.3772	17.6763	29.1013	3.8881	169.204
"MN98513"	65.1196	5.1438	5.2956	29.9852	NA	166.5015
"MN99109"	51.7736	5.9936	11.5061	21.4657	5.3612	169.7964
"MN99112"	NA	1.3428	6.2266	16.4239	2.3159	168.1297
"MN99126"	30.8132	2.6543	7.6678	21.1882	3.9733	169.1297
"MN99192"	35.3193	3.0832	8.2255	19.7668	4.539	169.8964
"MN99220-4"	46.168	1.4913	5.6899	18.9936	4.2342	167.0642
"MN99225"	35.155	2.8585	11.1435	22.0039	5.0762	167.7651
"MN99322"	45.3334	5.1204	10.1769	23.5292	3.5002	169.2297
"MN99341-2-5"	49.3462	1.3929	4.9001	24.0742	5.016	168.1309
"MN99408"	39.1415	1.8013	8.453	22.9131	5.6297	166.2651
"MN99433-1"	57.6491	11.6182	15.4988	26.4256	4.6729	168.0775
"MO_09_3-5"	67.6009	6.9999	12.3043	27.5741	10.1943	165.4208
"MO_1-2"	53.5622	3.7572	8.4814	30.3788	5.6489	174.0622
"MO_1-23"	51.4423	2.676	6.6571	20.7761	3.435	174.0549
"MO_1-24"	52.7136	2.1921	4.897	23.6001	3.7032	173.0549
"MO_1-3"	59.0975	14.878	22.5275	29.5102	9.9616	177.5622
"MO_3-23"	46.1859	6.4482	13.1959	27.3153	6.2737	175.3956
"MO_3-4"	26.8305	1.7823	6.8683	23.7381	2.9627	173.0328
"MO5_1-14"	17.5285	3.3171	9.502	16.9066	1.5115	166.9958
"MO5_1-15"	38.7605	2.7529	8.6699	14.9165	3.3078	166.3291
"MO5_1-16"	49.791	6.183	12.5402	25.799	9.0505	167.5041
"MO5_1-17"	30.7959	3.1516	8.8567	25.0333	6.6573	169.0042
"MO5_1-18"	35.774	3.3559	7.8026	22.8666	3.8663	168.3375
"MOTT"	52.7556	8.7743	15.5361	37.0493	11.6759	172.4443
"MS-CHEVELLE"	59.3542	7.5541	11.4203	29.2711	7.4051	168.0397
"MT0245"	58.9584	20.2962	27.0574	38.6379	4.4876	172.8498
"MT0249"	54.0734	27.7042	35.857	47.4933	NA	169.2151
"MT0266"	74.4235	16.9141	21.9821	41.2859	12.3408	170.2537
"MT03501487"	62.0867	15.8754	23.8262	41.6963	9.7384	169.4815
"MT03501736"	62.7751	14.9668	22.9067	43.8161	26.0851	170.8148
"MT03502405"	52.9104	8.8867	16.3388	28.4236	4.5214	163.8148
"MT03502420"	44.8215	6.6638	13.5074	29.2664	7.9994	168.1481
"MT03502445"	61.6848	18.4958	27.0322	47.5157	7.6516	169.4815
"MT0415"	69.7789	15.7702	24.4401	39.8257	13.0552	170.1309
"MT0416"	76.9959	39.3223	48.4208	41.2955	9.4737	169.2009
"MT0516"	61.3566	29.314	40.6452	73.6733	20.806	168.822
"MT0713"	71.6401	14.5325	17.4007	30.5469	14.1353	171.2109
"MT0827"	56.5374	14.2974	13.0761	43.992	10.7583	166.307
"MT0832"	53.9478	10.8574	11.7402	29.5366	8.8746	166.7685
"MT0852"	63.9386	14.4818	21.2601	36.8961	11.8346	168.507
"MT09SCAB16"	64.8451	20.2722	27.1149	35.7817	5.7036	171.6361
"MT09SCAB3"	62.9376	15.7949	22.3244	37.5469	8.5796	172.525
"MT09SCAB5"	58.8978	13.0246	19.5523	44.3605	9.8338	172.1917
