Class	Initial_GID	Initial_SRC	Compiled_SRC	First_Year_URN_correctedRelease	Final_GID	Pedigree	FINAL_GID_GENO_MATCH	If_Genotyped	First_Year_URN	decade
URN_Pre68	CItr13207	North Dakota	ND	1955	ND16	Rushmore x Kenya Farmer	ND16	YES	1955	1950s
URN_Pre68	CItr13208	North Dakota	ND	1955	ND19	Rushmore x Kenya Farmer	ND19	YES	1955	1950s
URN_Pre68	CItr13209	North Dakota	ND	1955	ND20	Rushmore x Kenya Farmer	ND20	YES	1955	1950s
URN_Pre68	CItr13210	North Dakota	ND	1955	ND22	Ns 4021 x Kenya Farmer	ND22	YES	1955	1950s
URN_Pre68	CItr13211	North Dakota	ND	1955	ND33	Thatcher x Kenya Farmer	ND33	YES	1955	1950s
URN_Pre68	CItr13204	North Dakota	ND	1955	ND4	Thatcher x Kenya Farmer	ND4	YES	1955	1950s
URN_Pre68	CItr13218	"Ciudad de Mexico, Mexico"	OTH	1955	Yaqui54	Yaqui 54	YAQUI54	YES	1955	1950s
URN_Pre68	CItr13221	"Manitoba, Can"	AAFC-CA	1956	CT231	Lee 6 x Kenya Farmer	CT231	YES	1956	1950s
URN_Pre68	CItr13322	North Dakota	ND	1957	EstanzuelaDakuru	Lee x N.D. 34	ESTANZUELADAKURU	YES	1957	1950s
URN_Pre68	CItr13406	Wisconsin	OTH	1957	H441b-15-2-2-3	Reward x C.I. 12632	H441B-15-2-2-3	YES	1957	1950s
URN_Pre68	CItr13407	Wisconsin	OTH	1957	H441b-15-2-2-4	Reward x C.I. 12632	H441B-15-2-2-4	YES	1957	1950s
URN_Pre68	CItr13405	Minnesota	MN	1957	II-44-65-1	Timstein x Henry	II-44-65-1	YES	1957	1950s
URN_Pre68	CItr13325	Minnesota	MN	1957	II-51-8	II-44-29 x Lee	II-51-8	YES	1957	1950s
URN_Pre68	CItr13401	Minnesota	MN	1957	II-51-9	II-44-29 x Lee	II-51-9	YES	1957	1950s
URN_Pre68	CItr13402	Minnesota	MN	1957	III-52-7	Thatcher x Kenya Farmer	III-52-7	YES	1957	1950s
URN_Pre68	CItr13403	Minnesota	MN	1957	III-52-8	Thatcher x Kenya Farmer	III-52-8	YES	1957	1950s
URN_Pre68	CItr13317	North Dakota	ND	1957	ND40-2	N.D. 4 x Ns.3880.227	ND40-2	YES	1957	1950s
URN_Pre68	CItr13319	North Dakota	ND	1957	ND58	K338AA x Ns.3880.191	ND58	YES	1957	1950s
URN_Pre68	CItr13320	North Dakota	ND	1957	ND65	Rushmore x Kenya Farmer	ND65	YES	1957	1950s
URN_Pre68	CItr13324	North Dakota	ND	1957	ND90-5	N.D. 4 x Lee	ND90-5	YES	1957	1950s
URN_Pre68	CItr13332	"Manitoba, Can"	AAFC-CA	1957	Pembina	Thatcher x R.L. 2564	PEMBINA	YES	1957	1950s
URN_Pre68	CItr13345	"Manitoba, Can"	AAFC-CA	1958	Canthatch	Thatcher 6 x Kenya Farmer	CANTHATCH	YES	1958	1950s
URN_Pre68	CItr13408	Minnesota	MN	1958	II-53-546	II-44-29 x Lee 3	II-53-546	YES	1958	1950s
URN_Pre68	CItr13347	"Skane Ian, Sweden"	OTH	1958	Karnvor	Karnvor 	KARNVOR	YES	1958	1950s
URN_Pre68	CItr13349	North Dakota	ND	1958	ND137	N.D. 81 x Lee	ND137	YES	1958	1950s
URN_Pre68	CItr13350	North Dakota	ND	1958	ND140	K338AA x N. 2350	ND140	YES	1958	1950s
URN_Pre68	CItr13454	Minnesota	MN	1959	II-52-52	Lee x Kenya Farmer	II-52-52	YES	1959	1950s
URN_Pre68	CItr13455	Minnesota	MN	1959	II-52-74	II-44-29 x Lee 2	II-52-74	YES	1959	1950s
URN_Pre68	CItr13456	Minnesota	MN	1959	II-53-532	II-44-29 x Lee 3	II-53-532	YES	1959	1950s
URN_Pre68	CItr13415	Minnesota	MN	1959	II-53-541	II-44-29 x Lee 3	II-53-541	YES	1959	1950s
URN_Pre68	CItr13458	Minnesota	MN	1959	II-53-562	II-44-29 x Lee 3	II-53-562	YES	1959	1950s
URN_Pre68	CItr13459	Minnesota	MN	1959	II-53-565	II-44-29 x Lee 3	II-53-565	YES	1959	1950s
URN_Pre68	CItr13416	Minnesota	MN	1959	II-53-567	II-44-29 x Lee 3	II-53-567	YES	1959	1950s
URN_Pre68	CItr13457	Wisconsin	OTH	1959	Lathrop	Henry 7 x P.I. 94587	LATHROP	YES	1959	1950s
URN_Pre68	CItr13460	North Dakota	ND	1959	ND125	N.D. 5 x N.D. 36	ND125	YES	1959	1950s
URN_Pre68	CItr13461	North Dakota	ND	1959	ND138-1	Lee x N.D. 34	ND138-1	YES	1959	1950s
URN_Pre68	CItr13451	North Dakota	ND	1959	ND152	N.D. 81 x Conley	ND152	YES	1959	1950s
URN_Pre68	CItr13452	North Dakota	ND	1959	ND153	N.D. 81 x Conley	ND153	YES	1959	1950s
URN_Pre68	CItr13453	North Dakota	ND	1959	ND162	(Lee x N.D. 81 sib) x Lee	ND162	YES	1959	1950s
URN_Pre68	CItr13465	Minnesota	MN	1960	Crim	KT-Tc 3 x II-44-29-Tc 2	CRIM	YES	1960	1960s
URN_Pre68	CItr13603	North Dakota	ND	1960	ND208	ND 81 sib x ND 1	ND208	YES	1960	1960s
URN_Pre68	CItr13604	North Dakota	ND	1960	ND218	Conley x ND 81	ND218	YES	1960	1960s
URN_Pre68	CItr13605	North Dakota	ND	1960	ND220	ND 81 sib x Conley	ND220	YES	1960	1960s
URN_Pre68	CItr13606	North Dakota	ND	1960	ND223	ND 81 sib x Conley 2	ND223	YES	1960	1960s
URN_Pre68	CItr13607	North Dakota	ND	1960	ND235	N2350 x [(Rmr-KF) x Ns.3880]	ND235	YES	1960	1960s
URN_Pre68	CItr13608	North Dakota	ND	1960	ND256	ND 81 sib x Conley	ND256	YES	1960	1960s
URN_Pre68	CItr13463	"Manitoba, Can"	AAFC-CA	1960	RL2938	Lee 2 x Kenya Farmer	RL2938	YES	1960	1960s
URN_Pre68	CItr13464	"Manitoba, Can"	AAFC-CA	1960	RL4009	Tc 2 x Frontana-Thatcher	RL4009	YES	1960	1960s
URN_Pre68	CItr13462	North Dakota	ND	1960	JUSTIN	Conley x N.D. 40-2	JUSTIN	YES	1960	1960s
URN_Pre68	CItr13572	Minnesota	MN	1961	II-52-238	Ftn x Tc 4	II-52-238	YES	1961	1960s
URN_Pre68	CItr13573	Minnesota	MN	1961	II-53-661	Ftn x Tc 2 x II-44-29 x Tc 2	II-53-661	YES	1961	1960s
URN_Pre68	CItr13574	Minnesota	MN	1961	II-53-737	Lee x No.58	II-53-737	YES	1961	1960s
URN_Pre68	CItr13575	Minnesota	MN	1961	II-53-738	Lee x No.58	II-53-738	YES	1961	1960s
URN_Pre68	CItr13576	Minnesota	MN	1961	II-53-749	Rival x II-50-17	II-53-749	YES	1961	1960s
URN_Pre68	CItr13565	North Dakota	ND	1961	ND202-2	"CT 231 x Cly, 55.302 A-4-5-3-2-1-1"	ND202-2	YES	1961	1960s
URN_Pre68	CItr13566	North Dakota	ND	1961	ND207-3	"CT 231 x Cly, 55.302 A-9-6-5-1-7"	ND207-3	YES	1961	1960s
URN_Pre68	CItr13567	North Dakota	ND	1961	ND215	"Cly x ND 81, 56.51 A-1-2-10-5"	ND215	YES	1961	1960s
URN_Pre68	CItr13568	North Dakota	ND	1961	ND247	"ND 140 x ND 138, 57.79 A-2-28-4"	ND247	YES	1961	1960s
URN_Pre68	CItr13569	North Dakota	ND	1961	ND264	"ND 138 x (Lee x FPI 186035), 57.434 A-1-1-1-3"	ND264	YES	1961	1960s
URN_Pre68	CItr13570	North Dakota	ND	1961	ND265	"ND 138 x (Lee x FPI 186035), 57.434 A-2-3-1-3"	ND265	YES	1961	1960s
URN_Pre68	CItr13571	North Dakota	ND	1961	ND271	"Cly x ND 142, 58.82 A-1-1-4"	ND271	YES	1961	1960s
URN_Pre68	CItr13625	"Manitoba, Can"	AAFC-CA	1961	RL4125	Tc 6-KF x Tc 7-Ftn	RL4125	YES	1961	1960s
URN_Pre68	CItr13577	South Dakota	SD	1961	SD1336	Rmr x Sps PW 36 x Tc-Tmp 630	SD1336	YES	1961	1960s
URN_Pre68	CItr13584	South Dakota	SD	1961	SD1944	Sk x W250	SD1944	YES	1961	1960s
URN_Pre68	CItr13587	Montana	MT	1962	B59-3	"(Norin 10 x Brevor, Sel. 14) x Centana"	B59-3	YES	1962	1960s
URN_Pre68	CItr13657	Minnesota	MN	1962	II-53-521	Ftn-Tc 3 x II-44-29-Tc 2	II-53-521	YES	1962	1960s
URN_Pre68	CItr13654	Minnesota	MN	1962	II-54-29	II-50-17 x Rushmore	II-54-29	YES	1962	1960s
URN_Pre68	CItr13655	Minnesota	MN	1962	II-54-30	II-50-17 x Rushmore	II-54-30	YES	1962	1960s
URN_Pre68	CItr13589	North Dakota	ND	1962	ND229-1	ND 140 x ND 138	ND229-1	YES	1962	1960s
URN_Pre68	CItr13590	North Dakota	ND	1962	ND287	ND 137 x ND 138	ND287	YES	1962	1960s
URN_Pre68	CItr13652	North Dakota	ND	1962	ND322	ND 102 x ND 81	ND322	YES	1962	1960s
URN_Pre68	CItr13653	North Dakota	ND	1962	ND345	ND 40-2-1-76 x Conley	ND345	YES	1962	1960s
URN_Pre68	CItr13586	Montana	MT	1962	Sheridan	"(Ftn x II-44-29, Sel. II-50-17) x Pilot"	SHERIDAN	YES	1962	1960s
URN_Pre68	CItr13588	Wisconsin	OTH	1962	Wisc.255	Kenya 184 x Wisc. 250 4	WISC.255	YES	1962	1960s
URN_Pre68	CItr13772	Montana	MT	1963	B61-88	Kenya 338 x Lee	B61-88	YES	1963	1960s
URN_Pre68	CItr13774	Minnesota	MN	1963	II-55-12	M2824 2 x II-50-72	II-55-12	YES	1963	1960s
URN_Pre68	CItr13778	North Dakota	ND	1963	ND404	ND 140 x ND 138	ND404	YES	1963	1960s
URN_Pre68	CItr13779	North Dakota	ND	1963	ND405	Cly x (Lee x FPI 186035)	ND405	YES	1963	1960s
URN_Pre68	CItr13780	North Dakota	ND	1963	ND406	Conley x ND 122	ND406	YES	1963	1960s
URN_Pre68	CItr13776	"Manitoba, Can"	AAFC-CA	1963	RL4133	RL 2520 x Tc 6-KF	RL4133	YES	1963	1960s
URN_Pre68	CItr13777	"Manitoba, Can"	AAFC-CA	1963	RL4137	RL 2520 x Tc 6-KF	RL4137	YES	1963	1960s
URN_Pre68	CItr13775	"Manitoba, Can"	AAFC-CA	1963	Manitou	RL 4125 x Tc 6-P.I. 170925	MANITOU	YES	1963	1960s
URN_Pre68	CItr13823	Montana	MT	1964	B60-82	II-50-17 x Pilot	B60-82	YES	1964	1960s
URN_Pre68	CItr13596	North Dakota	ND	1964	Fortuna	51-3549 x II-50-17	FORTUNA	YES	1964	1960s
URN_Pre68	CItr13824	Minnesota	MN	1964	II-58-14	Crim x II-53-525	II-58-14	YES	1964	1960s
URN_Pre68	CItr13825	Minnesota	MN	1964	II-58-57	ND81-III-58-2 x II-53-546	II-58-57	YES	1964	1960s
URN_Pre68	CItr13827	Minnesota	MN	1964	II-59-11	Crim x II-53-521	II-59-11	YES	1964	1960s
URN_Pre68	CItr13826	Minnesota	MN	1964	II-59-9	Crim x II-53-521	II-59-9	YES	1964	1960s
URN_Pre68	CItr13828	North Dakota	ND	1964	ND363	Justin x ND81	ND363	YES	1964	1960s
URN_Pre68	CItr13829	North Dakota	ND	1964	ND364	ND76 x Cly x Justin	ND364	YES	1964	1960s
URN_Pre68	CItr13830	North Dakota	ND	1964	ND373	Justin x Cly x ND122	ND373	YES	1964	1960s
URN_Pre68	WALDRON	NDSU	ND	1964	WALDRON	JUSTIN/ND-81	WALDRON	YES	1964	1960s
URN_Pre68	CItr13946	Montana	MT	1965	B61-89	Kenya 338 x Lee	B61-89	YES	1965	1960s
URN_Pre68	CItr13953	North Dakota	ND	1965	ND407	MEET x Cly 2 - ND 81	ND407	YES	1965	1960s
URN_Pre68	CItr13947	South Dakota	SD	1965	SD624	Unknown	SD624	YES	1965	1960s
URN_Pre68	CItr13948	South Dakota	SD	1965	SD625	Unknown	SD625	YES	1965	1960s
URN_Pre68	CItr13949	South Dakota	SD	1965	SD626	Unknown	SD626	YES	1965	1960s
URN_Pre68	CItr15714	Minnesota	MN	1966	II-56-40	Tc x Ftn-Hry	II-56-40	YES	1966	1960s
URN_Pre68	CHRIS	USDA-MN	MN	1960	CHRIS	FRONTANA/3*THATCHER/3/KENYA-58/NEWTHATCH//2*THATCHER	CHRIS	YES	1960	1960s
URN_Post68	II-62-61	USDA-MN	MN	1968	ERA	II-55-10/4/PEMBINA/II-52-329/3/II-53-388/III-58-4//II-53-546	ERA	YES	1968	1960s
URN_Post68	II-62-2	USDA-MN	MN	1968	FLETCHER	II-55-10/4/Pb/II-52-329/3/II-53-38/III-58-4//II-53-546	FLETCHER	YES	1968	1960s
URN_Post68	II-62-68	USDA-MN	MN	1968	II-62-68	II-55-10/4/Pb/II-52-329/3/II-53-38/III-58-4//II-53-546	II-62-68	YES	1968	1960s
URN_Post68	ND476	NDSU	ND	1968	ND476	Justin*2//ND259/Cly/3/ND406	ND476	YES	1968	1960s
URN_Post68	NEEPAWA	Canada	AAFC-CA	1968	NEEPAWA	HATCHER*7/FRONTANA//THATCHER*6/KENYA-FARMER/3/THATCHER*2//FRONTANA/THATCHER	NEEPAWA	YES	1968	1960s
URN_Post68	RED_RIVER_68	World Seeds	PRIVATE	1968	RED_RIVER_68	#N/A	RED_RIVER_68	YES	1968	1960s
URN_Post68	RL4220	Canada	AAFC-CA	1968	RL4220	Pb2/Magnif Entererriana	RL4220	YES	1968	1960s
URN_Post68	S6579	USDA-ND	ND	1968	S6579	Fta/61-107	S6579	YES	1968	1960s
URN_Post68	WIS271	USDA-WIS	OTH	1968	WIS271	PJ60/3/HRY*7/P54//KI84/7*WIS250/4/KI84/4*WIS250	WIS271	YES	1968	1960s
URN_Post68	H678-1-6-9	USDA-WIS	OTH	1969	H678-1-6-9	PJ60/3/HRY*7/P54//KI84/7*WIS250/4/KI84/4*WIS250	H678-1-6-9	YES	1969	1960s
URN_Post68	MT6723	MT	MT	1969	MT6723	Nrn10/Bvr14//6*Cnt	MT6723	YES	1969	1960s
URN_Post68	ND492	NDSU	ND	1969	ND492	Polk/ND363	ND492	YES	1969	1960s
URN_Post68	ND493	NDSU	ND	1969	ND493	ND259/Cly/2/Cly/ND122	ND493	YES	1969	1960s
URN_Post68	ND494	NDSU	ND	1969	ND494	ND259/Cly/2/Cly/ND122/3/Jtn/ND142	ND494	YES	1969	1960s
URN_Post68	ND495	NDSU	ND	1969	ND495	Jtn*2/3/ND259/Cly/2/Cly/ND122	ND495	YES	1969	1960s
URN_Post68	S6694	USDA-ND	ND	1969	S6694	FTA/62-85	S6694	YES	1969	1960s
URN_Pre68	CItr13100	Canada	AAFC-CA	1969	SELKIRK	"MCMURACHY/EXCHANGE//3*REDMAN,CAN"	SELKIRK	YES	1959	1950s
URN_Post68	BONANZA	DeKalb Ag. Res.	PRIVATE	1970	BONANZA	PITIC-62/(SIB)CHRIS//SONORA-64	BONANZA	YES	1970	1970s
URN_Post68	ND491	NDSU	ND	1970	ELLAR	ND140/ND363	ELLAR	YES	1970	1970s
URN_Post68	MT6830	MT	MT	1970	MT6830	SI/3/NRN10/BVR14//5*CNT	MT6830	YES	1970	1970s
URN_Post68	MT6834	MT	MT	1970	MT6834	SI/3/NRN10/BVR14//5*CNT	MT6834	YES	1970	1970s
URN_Post68	MT6839	MT	MT	1970	MT6839	FTR/3/NRNIO/BVR]4//5*CNT	MT6839	YES	1970	1970s
URN_Post68	ND487	NDSU	ND	1970	ND487	ND259/CLY//CLY/ND122/3/JT/ND142	ND487	YES	1970	1970s
URN_Post68	ND496	NDSU	ND	1970	ND496	ND363/ND269	ND496	YES	1970	1970s
URN_Post68	ND499	NDSU	ND	1970	ND499	JT*2/4/ND259/CLY//CLY/ND122/3/JT/5/ND363	ND499	YES	1970	1970s
URN_Post68	NK69I157	Northrup King	PRIVATE	1970	NK69I157	#N/A	NK69I157	YES	1970	1970s
URN_Post68	WORLD_SEEDS_1812	World Seeds	PRIVATE	1970	WORLD_SEEDS_1812	#N/A	WORLD_SEEDS_1812	YES	1970	1970s
URN_Post68	BOUNTY_208	"Cargill, Inc."	PRIVATE	1971	BOUNTY_208	#N/A	BOUNTY_208	YES	1971	1970s
URN_Post68	LARK	World Seeds	PRIVATE	1971	LARK	PITIC-62/4/KENYA-58/NEWTHATCH//THATCHER/3/FRONTANA/THATCHER/5/SONORA-64	LARK	YES	1971	1970s
URN_Post68	ND501	NDSU	ND	1971	ND501	WALDRON/POLK	ND501	YES	1971	1970s
URN_Post68	ND506	NDSU	ND	1971	ND506	ND140/ND363	ND506	YES	1971	1970s
URN_Post68	NK70Y14	Northrup King	PRIVATE	1971	NK70Y14	PROTOR	NK70Y14	YES	1971	1970s
URN_Post68	ND497	NDSU	ND	1971	OLAF	JT*2/4/ND259/CLY//CLY/ND122/3/JT/5/ND363	OLAF	YES	1971	1970s
URN_Post68	WORLD_SEEDS_1809	World Seeds	PRIVATE	1971	WORLD_SEEDS_1809	#N/A	WORLD_SEEDS_1809	YES	1971	1970s
URN_Post68	ANGUS	USDA-MN	MN	1972	ANGUS	POLKsib/II-60-105	ANGUS	YES	1972	1970s
URN_Post68	H689-5-5	USDA-WIS	OTH	1972	H689-5-5	HRY/SPS//RMR	H689-5-5	YES	1972	1970s
URN_Post68	II-64-33	USDA-MN	MN	1972	KITT	YI-55-14/II-60-105	KITT	YES	1972	1970s
URN_Post68	MN6601	USDA-MN	MN	1972	MN6601	CHRIS*2/II-60-46	MN6601	YES	1972	1970s
URN_Post68	ND507	NDSU	ND	1972	ND507	WALDRON/RL4205	ND507	YES	1972	1970s
URN_Post68	ND508	NDSU	ND	1972	ND508	ND476//CLY/ND122	ND508	YES	1972	1970s
URN_Post68	ND509	NDSU	ND	1972	ND509	"WALDRON ""S"" *2/AGENT/3/3*WALDRON ""S""//T1673/3*KT48"	ND509	YES	1972	1970s
URN_Post68	ND510	NDSU	ND	1972	ND510	ND455*2/AGATHA/3/3*ND455//TI673/3*KT48	ND510	YES	1972	1970s
URN_Post68	ND511	NDSU	ND	1972	ND511	ND373*2/RL4205//3*ND373/GIZA HEGAZY AHMER	ND511	YES	1972	1970s
URN_Post68	ND515	NDSU	ND	1972	ND515	ND455*2/AGATHA/3/3*ND455//TI673/3*KT48	ND515	YES	1972	1970s
URN_Post68	MT7042	USDA-MT	MT	1972	NORANA	SI/3/NRNIO/BVR14//5*CNT	NORANA	YES	1972	1970s
URN_Post68	RL4238	Canada	AAFC-CA	1972	RL4238	MANITOU*2/RL4124.1	RL4238	YES	1972	1970s
URN_Post68	BUTTE	NDSU	ND	1973	BUTTE	ND480//POLK/WISC261	BUTTE	YES	1973	1970s
URN_Post68	MT7150	USDA-MT	MT	1973	MT7150	JT/3/NRN10/BVR14//4*CNT	MT7150	YES	1973	1970s
URN_Post68	ND518	NDSU	ND	1973	ND518	ND487/WALDRON	ND518	YES	1973	1970s
URN_Post68	ND521	NDSU	ND	1973	ND521	ND441sib*2/AGENT//3*ND441sib/T.der./3/2*ND441/SUWON92	ND521	YES	1973	1970s
URN_Post68	ND522	NDSU	ND	1973	ND522	ND491/FLETCHER	ND522	YES	1973	1970s
URN_Post68	ND525	NDSU	ND	1973	ND525	ND487/4/WALDRON/3/AGENT/T1673-KT48//SUWON92	ND525	YES	1973	1970s
URN_Post68	ND523	NDSU	ND	1974	ND523	Jt//CLY/ND122/3/AGENT/T.DER./4/ND76/CLY//Jt/3/SUWON92	ND523	YES	1974	1970s
URN_Post68	ND526	NDSU	ND	1974	ND526	ND496 sib/3/ND457//AGENT/T.DER.	ND526	YES	1974	1970s
URN_Post68	BORAH	USDA-ID	OTH	1975	BORAH	NO-58/THATCHER//THATCHER/KENYA-FARMER/3/MN-III-58-1//FRONTANA/3*THATCHER	BORAH	YES	1975	1970s
URN_Post68	LEW	USDA-MT	MT	1975	LEW	NA	LEW	YES	1975	1970s
URN_Post68	MN70113	USDA-MN	MN	1975	MN70113	POLK/TOB66/FCH	MN70113	YES	1975	1970s
URN_Post68	MN70180	USDA-MN	MN	1975	MN70180	ERA/CHRIS MUTANT	MN70180	YES	1975	1970s
URN_Post68	MN7083	USDA-MN	MN	1975	MN7083	FCH/NOR66//MNII-64-33	MN7083	YES	1975	1970s
URN_Post68	MN7086	USDA-MN	MN	1975	MN7086	ERA/MNII-64-33	MN7086	YES	1975	1970s
URN_Post68	ND531	NDSU	ND	1975	ND531	ND496sib/4/ND396/3/Pb/AGENT//SUWON92	ND531	YES	1975	1970s
URN_Post68	ND532	NDSU	ND	1975	ND532	OLAF/ND496	ND532	YES	1975	1970s
URN_Post68	ND535	NDSU	ND	1975	ND535	ND499/WALDRON/RL4205/3/CONLEY/ND122/WI261	ND535	YES	1975	1970s
URN_Post68	NEWANA	USDA-MT	MT	1975	NEWANA	SHERIDAN/3/NORIN-10/BREVOR(CI-13253)//5*CENTANA	NEWANA	YES	1975	1970s
URN_Post68	COTEAU	NDSU	ND	1976	COTEAU	ND496sib//ND487/FLETCHER	COTEAU	YES	1976	1970s
URN_Post68	II-62-48	TX	MN	1976	II-62-48	POLKsib/II-60-105	II-62-48	YES	1976	1970s
URN_Post68	SD2273	SDSU	SD	1976	JAMES	OLAF/ND510-2	JAMES	YES	1976	1970s
URN_Post68	ND543	NDSU	ND	1976	LEN	ND499/3/JUSTIN/RL4205//WI261	LEN	YES	1976	1970s
URN_Post68	MN70170	USDA-MN	MN	1976	MN70170	WALDRON/ERA	MN70170	YES	1976	1970s
URN_Post68	MN7125	USDA-MN	MN	1976	MN7125	FCH/C.I.13990	MN7125	YES	1976	1970s
URN_Post68	MT7416	USDA-MT	MT	1976	MT7416	RR68/3/NRN10/BVR14//6*CNT	MT7416	YES	1976	1970s
URN_Post68	MT749	USDA-MT	MT	1976	MT749	RR68/4/SI/3/NRN10/BVR14/5*CNT	MT749	YES	1976	1970s
URN_Post68	ND536	NDSU	ND	1976	ND536	OLAF/ND496	ND536	YES	1976	1970s
URN_Post68	SD2271	SDSU	SD	1976	SD2271	OLAF/ND510-1	SD2271	YES	1976	1970s
URN_Post68	SD2288	SDSU	SD	1976	SD2288	WORLD SEEDS 1809/Pj63//SELKIRK-1	SD2288	YES	1976	1970s
URN_Post68	ND550	NDSU	ND	1977	ALEX	ND507/ND496	ALEX	YES	1977	1970s
URN_Post68	EUREKA	SDSU	SD	1977	EUREKA	NA	EUREKA	YES	1977	1970s
URN_Post68	ID0153	USDA-MN	MN	1977	ID0153	Borah/3/II-60-101//TZPP/SON64	ID0153	YES	1977	1970s
URN_Post68	ND547	NDSU	ND	1977	ND547	Olaf/ND496	ND547	YES	1977	1970s
URN_Post68	ND549	NDSU	ND	1977	ND549	Olaf/ND496	ND549	YES	1977	1970s
URN_Post68	ND553	NDSU	ND	1977	ND553	ND496's/4/ND396/3/JTN/Agent/SUWON92	ND553	YES	1977	1970s
URN_Post68	ND555	NDSU	ND	1977	ND555	Olaf/4/JTN/ND335//JTN/Wanken/3/Chris/WI261	ND555	YES	1977	1970s
URN_Post68	SD2355	SDSU	SD	1977	SD2355	Olaf/Neepawa	SD2355	YES	1977	1970s
URN_Post68	SD2358	SDSU	SD	1977	SD2358	Waldron//TZPP/AA	SD2358	YES	1977	1970s
URN_Post68	MN7336	USDA-MN	MN	1978	MN7336	Era/II-61-6//Waldron*2/Era	MN7336	YES	1978	1970s
URN_Post68	MN7378	USDA-MN	MN	1978	MN7378	Era/FBW406	MN7378	YES	1978	1970s
URN_Post68	ND557	NDSU	ND	1978	ND557	ND 496 Sib/4/ND396/3/Pb/Agent//Suwon 92	ND557	YES	1978	1970s
URN_Post68	NHS74183	North American Pl. Br.	PRIVATE	1978	NHS74183	NA	NHS74183	YES	1978	1970s
URN_Post68	WSMP122	World Seeds	PRIVATE	1978	WSMP122	NA	WSMP122	YES	1978	1970s
URN_Post68	MN7324	USDA-MN	MN	1979	MN7324	WDR*3/Era	MN7324	YES	1979	1970s
URN_Post68	MT7635	USDA-MT	MT	1979	MT7635	MT647/MT6868	MT7635	YES	1979	1970s
URN_Post68	MT7648	USDA-MT	MT	1979	MT7648	"ND476/4/Sheridan/3/Norin 10/Bev, 14//4* Centana"	MT7648	YES	1979	1970s
URN_Post68	ND565	NDSU	ND	1979	ND565	Olaf/ND496	ND565	YES	1979	1970s
URN_Post68	ND567	NDSU	ND	1979	ND567	Olaf/Butte	ND567	YES	1979	1970s
URN_Post68	ND569	NDSU	ND	1979	ND569	Olaf//ND499/ND516	ND569	YES	1979	1970s
URN_Post68	ND570	NDSU	ND	1979	ND570	ND537/ND517-2	ND570	YES	1979	1970s
URN_Post68	ND571	NDSU	ND	1979	ND571	Butte/ND527	ND571	YES	1979	1970s
URN_Post68	NK75S5511-4	Northrup King	PRIVATE	1979	NK75S5511-4	Era (Early)/3/Jt//Cly/ND122	NK75S5511-4	YES	1979	1970s
URN_Post68	RL4314	Canada	AAFC-CA	1979	RL4314	NP/3/RL4255*4//Mit/CI7090	RL4314	YES	1979	1970s
URN_Post68	WA6307	WA	WA	1979	WA6307	K6901532/Era	WA6307	YES	1979	1970s
URN_Post68	WA6510	WA	WA	1979	WA6510	K691495/MN26268	WA6510	YES	1979	1970s
URN_Post68	WA6511	WA	WA	1979	WA6511	K691532/Era	WA6511	YES	1979	1970s
URN_Post68	MN73168	USDA-MN	MN	1979	WHEATON	Crim/Era*2//Bui-Gallo	WHEATON	YES	1979	1970s
URN_Post68	SD2868	SDSU	SD	1980	CENTA	Butte/James 's'	CENTA	YES	1980	1980s
URN_Post68	HS7664	North American Pl. Br.	PRIVATE	1980	HS7664	NA	HS7664	YES	1980	1980s
URN_Post68	ID0167	USDA-ID	OTH	1980	ID0167	Mrn/Tbr 66/3/TzPP/AN3//B61-136	ID0167	YES	1980	1980s
URN_Post68	MN70170R	USDA-MN	MN	1980	MARSHALL	Waldron/Era	MARSHALL	YES	1980	1980s
URN_Post68	MT7836	USDA-MT	MT	1980	MT7836	TzPP/Son 64//Selkirk	MT7836	YES	1980	1980s
URN_Post68	ND572	NDSU	ND	1980	ND572	Butte*2/ND507	ND572	YES	1980	1980s
URN_Post68	ND573	NDSU	ND	1980	ND573	ND526/Kitt	ND573	YES	1980	1980s
URN_Post68	ND574	NDSU	ND	1980	ND574	Olaf/5/Jt/ND335/Pembina/3/Wanken 2/4/Cis/Wisc261	ND574	YES	1980	1980s
URN_Post68	ND575	NDSU	ND	1980	ND575	ND551//Butte*2/ND507	ND575	YES	1980	1980s
URN_Post68	NK75S2631	Northrup King	PRIVATE	1980	NK75S2631	Era/Justin	NK75S2631	YES	1980	1980s
URN_Post68	RL4352	Mant.-Canada	AAFC-CA	1980	RL4352	Neepawa*6/RL4137	RL4352	YES	1980	1980s
URN_Post68	SD2700	SDSU	SD	1980	SD2700	Olaf/MN6792	SD2700	YES	1980	1980s
URN_Post68	SD2835	SDSU	SD	1980	SD2835	Butte/Eureka	SD2835	YES	1980	1980s
URN_Post68	SD2870	SDSU	SD	1980	SD2870	Hand/2*WS1809/3/Oleson/Tobari//Trapper	SD2870	YES	1980	1980s
URN_Post68	WA6756	WA	WA	1980	WA6756	N7000052/K71053	WA6756	YES	1980	1980s
URN_Post68	WA6758	WA	WA	1980	WA6758	K71051/WA5949	WA6758	YES	1980	1980s
URN_Post68	X6718	Pioneer	PRIVATE	1980	X6718	TZPP/Son 64//Crim/3/Red River 68	X6718	YES	1980	1980s
URN_Post68	X6753	Pioneer	PRIVATE	1980	X6753	TZPP/Son 64//Crim/3/Era	X6753	YES	1980	1980s
